Alg	Cov	Precision	Recall	Fscore
GATK	1	0.99963	0.27484	0.431141273
GATK	2	0.99945	0.60776	0.755875999
GATK	3	0.9992	0.81044	0.894975407
GATK	4	0.99888	0.91302	0.954022091
GATK	5	0.99858	0.96069	0.979268626
GATK	6	0.99832	0.98166	0.989919909
GATK	7	0.99813	0.99061	0.994355782
GATK	8	0.99797	0.99443	0.996196855
GATK	9	0.99782	0.99602	0.996919187
GATK	10	0.99772	0.99671	0.997214744
GATK	15	0.99733	0.99734	0.997335
GATK	20	0.99707	0.99755	0.997309942
GATK	25	0.99693	0.99771	0.997319847
ISCBF	1	0.99914	0.53155	0.693926095
ISCBF	2	0.99887	0.79166	0.883275258
ISCBF	3	0.99835	0.90964	0.951932761
ISCBF	4	0.99761	0.96112	0.979025106
ISCBF	5	0.99668	0.98285	0.989716688
ISCBF	6	0.99582	0.99207	0.993941463
ISCBF	7	0.99474	0.99594	0.995339638
ISCBF	8	0.99356	0.99761	0.995580881
ISCBF	9	0.99233	0.99836	0.995335867
ISCBF	10	0.99105	0.99878	0.994899985
ISCBF	15	0.98451	0.99934	0.99186957
ISCBF	20	0.97734	0.9995	0.988295795
ISCBF	25	0.97009	0.99958	0.984614237
ISCAF	1	0.99914	0.53155	0.693926095
ISCAF	2	0.99887	0.79166	0.883275258
ISCAF	3	0.99835	0.90964	0.951932761
ISCAF	4	0.99761	0.96112	0.979025106
ISCAF	5	0.99668	0.98285	0.989716688
ISCAF	6	0.99582	0.99207	0.993941463
ISCAF	7	0.99474	0.99594	0.995339638
ISCAF	8	0.99435	0.99477	0.994559956
ISCAF	9	0.99549	0.99604	0.995764924
ISCAF	10	0.99648	0.99707	0.996774913
ISCAF	15	0.99687	0.99817	0.997519576
ISCAF	20	0.99664	0.99843	0.997534197
ISCAF	25	0.99651	0.9987	0.997603798
